Customer_ID,Age,Annual_Income,Spending_Score
1,55.5,85337,66.0
2,34.6,31016,41.5
3,50.4,98278,83.7
4,46.1,87539,92.0
5,25.3,30248,29.7
6,27.9,38053,30.6
7,58.2,96815,72.6
8,33.0,59664,48.0
9,50.5,102742,85.9
10,51.9,75834,80.3
11,53.9,84970,90.1
12,47.4,91679,84.8
13,29.6,36370,23.4
14,50.6,97835,75.8
15,39.5,69091,67.9
16,26.0,25657,24.5
17,35.1,60754,70.8
18,40.6,65839,53.3
19,40.9,56537,55.5
20,40.9,54936,58.2
21,27.8,30582,14.6
22,26.8,31801,30.4
23,38.1,65118,56.2
24,49.2,63016,41.6
25,28.1,38593,47.5
26,21.9,34330,22.9
27,25.6,29482,50.8
28,56.3,93503,80.6
29,55.8,94587,81.0
30,55.9,113387,81.1
31,34.9,61703,58.4
32,46.2,84088,89.8
33,34.7,57594,38.3
34,46.6,70844,49.1
35,50.8,105219,76.1
36,37.2,52184,59.0
37,50.0,91850,89.0
38,54.1,99945,79.9
39,26.4,31100,39.9
40,53.7,114161,83.6
41,26.4,20581,26.7
42,52.8,101198,82.5
43,64.3,98352,81.8
44,28.4,34843,30.2
45,26.3,33229,29.1
46,50.5,109392,81.9
47,36.2,51801,59.8
48,21.6,36061,41.9
49,49.2,66595,48.5
50,43.9,66021,51.3
51,37.6,62476,50.2
52,26.8,29280,33.6
53,40.9,57984,54.2
54,22.4,30640,38.3
55,47.8,63517,54.8
56,50.0,105123,92.2
57,46.2,87805,87.9
58,22.9,27593,32.5
59,44.3,97651,79.5
60,45.9,79543,93.1
61,42.8,72046,60.3
62,23.7,24260,29.2
63,45.1,77609,50.9
64,43.2,48405,58.0
65,43.7,57068,59.1
66,40.2,56628,56.6
67,40.0,71386,52.9
68,41.1,42631,56.4
69,42.9,63597,61.0
70,24.7,26989,32.3
71,48.4,90139,83.9
72,38.9,58202,61.7
73,40.5,71467,69.5
74,38.8,70507,47.1
75,40.5,62559,51.5
76,35.0,48942,42.1
77,50.4,55983,62.4
78,58.6,97826,84.5
79,52.2,89581,76.1
80,37.1,56749,52.3
81,53.0,97460,78.5
82,20.4,20903,27.2
83,38.6,50715,56.6
84,28.4,34573,19.8
85,21.5,19126,35.7
86,36.7,68082,50.2
87,51.5,94880,77.2
88,29.7,40161,19.5
89,42.5,49826,52.4
90,21.6,21179,28.1
91,28.8,37499,26.9
92,24.9,25460,34.5
93,19.9,32805,41.0
94,53.8,99828,82.6
95,21.9,26238,38.4
96,29.0,38369,34.7
97,26.3,30219,25.6
98,59.0,91182,86.5
99,24.8,35368,28.7
100,18.3,30380,27.7
101,42.0,86539,84.6
102,58.1,108303,93.1
103,39.4,90539,75.8
104,29.2,31765,26.7
105,52.1,100940,82.8
106,63.0,107917,73.0
107,30.6,33081,27.2
108,55.4,96464,75.5
109,30.1,27356,27.0
110,39.2,73757,64.8
111,53.9,87293,90.9
112,36.1,73740,60.6
113,23.2,23599,26.7
114,62.0,93393,78.8
115,26.1,23492,36.7
116,42.6,57305,54.1
117,26.5,30254,22.6
118,48.5,104158,76.4
119,54.2,96856,67.1
120,43.2,62299,61.1
